id,numProcesso,data_ajuizamento,id_classe,id_assunto,ano_eleicao
405277383,"06000828020206070000",2020-07-07 00:00:00.000,{12377},{11778},0
405277413,"06000606620206070050",2020-06-07 00:00:00.000,{12553},{11778},0
405277919,"00000238420156070011",2015-05-18 16:49:33.000,{11541},{11778},0
405278066,"06006323620216000000",2021-12-09 14:20:03.000,{12552},{11778},0
405283829,"06000185120226070016",2022-08-31 18:35:45.000,{12553},{11778},2022
405286187,"06017866020226070000",2022-09-12 00:00:00.000,{11532},{11778},2022
405287812,"06000824620216070000",2021-07-01 16:33:15.000,{12377},{11778},2020
579799855,"06000170520226070004",2022-05-17 14:27:35.000,{1727},{3555},2010
634916725,"06001555720246070050",2024-03-21 00:00:00.000,{12559},{11778},0
638632712,"00000029620156070015",2015-01-08 17:52:27.000,{11528},{11778},0
638632762,"00000041120156070001",2015-01-30 16:22:15.000,{12551},{11778},0
638632852,"00000052220176070002",2017-02-13 17:36:56.000,{11531},{11778},0
638633040,"00000207620136070019",2013-06-13 14:25:37.000,{11541},{11778},0
638633058,"00000103020166070018",2016-04-20 15:03:40.000,{12554},{11778},0
638633149,"00000232720146070009",2014-06-13 12:06:31.000,{11528},{11778},0
